goos: linux
goarch: amd64
pkg: pkt.systems/lql
cpu: 13th Gen Intel(R) Core(TM) i7-1355U
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_selector/warmup_included-12         	       1	  32192283 ns/op	    9888 B/op	      95 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_selector/warmup_included-12         	       1	  29094618 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_selector/warmup_included-12         	       1	  30966931 ns/op	    5344 B/op	      15 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_selector/steady_state-12            	       1	  28101406 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_selector/steady_state-12            	       1	  28149881 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_selector/steady_state-12            	       1	  29746476 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_selector/warmup_included-12            	       1	  39497683 ns/op	   72784 B/op	      20 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_selector/warmup_included-12            	       1	  39450449 ns/op	    8176 B/op	      18 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_selector/warmup_included-12            	       1	  39291139 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_selector/steady_state-12               	       1	  38799545 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_selector/steady_state-12               	       1	  39022842 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_selector/steady_state-12               	       1	  38568561 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_plan/warmup_included-12             	       1	  28420628 ns/op	    4992 B/op	      11 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_plan/warmup_included-12             	       1	  28532660 ns/op	    4992 B/op	      11 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_plan/warmup_included-12             	       1	  28459711 ns/op	    4992 B/op	      11 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_plan/steady_state-12                	       1	  29945664 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_plan/steady_state-12                	       1	  28470175 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/decision_only_plan/steady_state-12                	       1	  28535706 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_plan/warmup_included-12                	       1	  44221473 ns/op	    7824 B/op	      14 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_plan/warmup_included-12                	       1	  38734431 ns/op	    7824 B/op	      14 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_plan/warmup_included-12                	       1	  38940754 ns/op	    7824 B/op	      14 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_plan/steady_state-12                   	       1	  38919925 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_plan/steady_state-12                   	       1	  39232126 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_ndjson_numeric/plus_value_plan/steady_state-12                   	       1	  38718810 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_selector/warmup_included-12          	       1	  32222722 ns/op	    5344 B/op	      15 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_selector/warmup_included-12          	       1	  31984773 ns/op	    5344 B/op	      15 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_selector/warmup_included-12          	       1	  31814983 ns/op	    5344 B/op	      15 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_selector/steady_state-12             	       1	  29521951 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_selector/steady_state-12             	       1	  28248392 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_selector/steady_state-12             	       1	  28274626 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_selector/warmup_included-12             	       1	  46373304 ns/op	    8176 B/op	      18 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_selector/warmup_included-12             	       1	  38844174 ns/op	    8176 B/op	      18 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_selector/warmup_included-12             	       1	  38785757 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_selector/steady_state-12                	       1	  39042391 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_selector/steady_state-12                	       1	  38688479 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_selector/steady_state-12                	       1	  38881646 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_plan/warmup_included-12              	       1	  39781282 ns/op	    4992 B/op	      11 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_plan/warmup_included-12              	       1	  29433042 ns/op	    4992 B/op	      11 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_plan/warmup_included-12              	       1	  28353301 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_plan/steady_state-12                 	       1	  29948162 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_plan/steady_state-12                 	       1	  29652492 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/decision_only_plan/steady_state-12                 	       1	  28051884 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_plan/warmup_included-12                 	       1	  39633925 ns/op	    7824 B/op	      14 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_plan/warmup_included-12                 	       1	  45248219 ns/op	    7824 B/op	      14 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_plan/warmup_included-12                 	       1	  39081486 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_plan/steady_state-12                    	       1	  38697548 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_plan/steady_state-12                    	       1	  38721603 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_array_numeric/plus_value_plan/steady_state-12                    	       1	  38765656 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_selector/warmup_included-12         	       1	  11126633 ns/op	   10736 B/op	     108 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_selector/warmup_included-12         	       1	  11103760 ns/op	    5344 B/op	      15 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_selector/warmup_included-12         	       1	  11277604 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_selector/steady_state-12            	       1	  11085535 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_selector/steady_state-12            	       1	  11092562 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_selector/steady_state-12            	       1	  10983261 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_selector/warmup_included-12            	       1	  17412501 ns/op	 3157544 B/op	      23 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_selector/warmup_included-12            	       1	  18671318 ns/op	 3152880 B/op	      18 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_selector/warmup_included-12            	       1	  17422916 ns/op	 3152880 B/op	      18 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_selector/steady_state-12               	       1	  16557623 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_selector/steady_state-12               	       1	  16769472 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_selector/steady_state-12               	       1	  16178437 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_plan/warmup_included-12             	       1	  11449896 ns/op	    4992 B/op	      11 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_plan/warmup_included-12             	       1	  11555802 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_plan/warmup_included-12             	       1	  11481290 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_plan/steady_state-12                	       1	  11505915 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_plan/steady_state-12                	       1	  12122730 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/decision_only_plan/steady_state-12                	       1	  11412917 ns/op	      24 B/op	       1 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_plan/warmup_included-12                	       1	  17320624 ns/op	 3152528 B/op	      14 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_plan/warmup_included-12                	       1	  17143887 ns/op	    1824 B/op	       3 allocs/op
BenchmarkQueryStreamNumericPathSynthetic/large_single_numeric/plus_value_plan/warmup_included-12                	       1	  17007853 ns/op	    1824 B/op	       3 allocs/op
